Event Title,ID,Tagged Page,"Jun 1, 2025","Jul 1, 2025","Aug 1, 2025","Sep 1, 2025","Oct 1, 2025","Nov 1, 2025","Dec 1, 2025","Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,691_prod,Documents,0,1,0,0,0,0,0,0,0,2,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,691_prod,Project Settings - Documents - Order & Visibility,0,0,0,0,0,0,0,1,1,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,691_prod,Project Settings - Staff Management,0,1,1,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,691_prod,Purchase Requests,0,2,0,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,691_prod,Offplan Map,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Listings,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Sales Center - Reserved Listings,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Sales Grid Settings,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Setting - System Override,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Selection Worksheets,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Subjects Reporting,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Post-Sale Deposit Report,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Project Settings - Documents - Manual Upload,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,691_prod,Purchaser Realtor Reporting,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,384_prod,Untagged Pages,2,9,15,32,33,35,47,31,24,45,90,49,36,34.46,448.0,33.0
Page View - Total Sessions,384_prod,Dashboard (test),3,13,10,28,33,34,30,28,23,35,64,26,26,27.15,353.0,28.0
Page View - Total Sessions,384_prod,Contracts - Deal Summary,0,10,6,22,30,28,23,20,22,27,60,29,27,23.38,304.0,23.0
Page View - Total Sessions,384_prod,Document: Developer Sign,0,6,4,19,22,24,17,11,15,20,45,22,16,17.0,221.0,17.0
Page View - Total Sessions,384_prod,Contracts Dashboard,3,13,10,28,33,34,30,28,23,17,0,0,0,16.85,219.0,17.0
Page View - Total Sessions,384_prod,Deal Finder,0,7,3,15,21,20,15,10,11,8,0,0,0,8.46,110.0,8.0
Page View - Total Sessions,384_prod,Document: Sign in Person,0,0,0,6,5,6,8,4,3,13,12,10,12,6.08,79.0,6.0
Page View - Total Sessions,384_prod,New Deal,0,0,4,8,8,16,8,3,6,2,0,0,0,4.23,55.0,3.0
Page View - Total Sessions,384_prod,Open and Sign Documents,0,0,0,0,0,4,2,1,3,5,1,2,1,1.46,19.0,1.0
Page View - Total Sessions,384_prod,New Deal grid ,0,0,4,8,4,0,0,0,0,0,0,0,0,1.23,16.0,0.0
Page View - Total Sessions,384_prod,Purchaser Portal,0,0,2,0,0,0,6,5,1,2,0,0,0,1.23,16.0,0.0
Page View - Total Sessions,384_prod,Project Settings,0,0,1,2,1,3,0,1,0,1,1,0,0,0.77,10.0,1.0
Page View - Total Sessions,384_prod,Excel Reporting,0,1,0,3,0,2,0,1,1,1,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,384_prod,Contracts - Disclosures & Amendments,0,0,0,1,1,0,1,1,1,1,2,0,0,0.62,8.0,1.0
Page View - Total Sessions,384_prod,Listings,0,0,0,0,2,2,2,0,0,1,0,0,0,0.54,7.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Dashboard,0,0,1,1,1,0,0,1,0,1,1,0,0,0.46,6.0,0.0
Page View - Total Sessions,384_prod,Setting - System Override,0,0,0,1,0,3,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,384_prod,Documents,0,0,0,2,0,0,0,1,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,384_prod,Price model,0,0,0,3,0,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,384_prod,Account/Developer/SettingBuildingNew,0,0,0,1,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Documents - Manual Upload,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Documents - Order & Visibility,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,384_prod,Project Settings - General,0,0,0,1,0,0,0,0,0,0,1,0,0,0.15,2.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Listing Setup,0,0,0,1,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Options - Map Options,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,384_prod,Project Settings - Templates - Emails,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,384_prod,Purchaser Realtor Reporting,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,416_prod,Untagged Pages,4,43,9,33,29,36,28,31,43,42,35,45,61,33.77,439.0,35.0
Page View - Total Sessions,416_prod,Contracts - Deal Summary,10,44,13,26,24,25,20,21,32,38,33,53,57,30.46,396.0,26.0
Page View - Total Sessions,416_prod,Dashboard (test),4,33,6,17,26,25,23,23,30,39,32,42,46,26.62,346.0,26.0
Page View - Total Sessions,416_prod,Contracts Dashboard,4,33,6,17,26,25,23,23,30,25,0,0,0,16.31,212.0,23.0
Page View - Total Sessions,416_prod,Deal Finder,4,21,4,15,22,19,20,21,27,20,0,0,0,13.31,173.0,19.0
Page View - Total Sessions,416_prod,Document: Developer Sign,6,32,11,10,3,4,3,5,5,13,11,28,36,12.85,167.0,10.0
Page View - Total Sessions,416_prod,Document: Sign in Person,0,0,0,10,14,11,10,8,17,6,9,1,1,6.69,87.0,8.0
Page View - Total Sessions,416_prod,Purchaser Portal,0,12,2,3,0,2,1,3,5,1,0,0,0,2.23,29.0,1.0
Page View - Total Sessions,416_prod,Listings,1,0,1,5,3,2,0,0,0,4,0,0,0,1.23,16.0,0.0
Page View - Total Sessions,416_prod,Documents,1,1,0,0,3,4,1,1,1,0,0,0,0,0.92,12.0,1.0
Page View - Total Sessions,416_prod,Project Settings,0,2,0,0,0,0,0,0,0,0,0,1,1,0.31,4.0,0.0
Page View - Total Sessions,416_prod,Project Settings - Dashboard,0,2,0,0,0,0,0,0,0,0,0,1,1,0.31,4.0,0.0
Page View - Total Sessions,416_prod,Project Settings - Documents - Manual Upload,0,2,0,0,0,0,0,0,0,0,0,1,1,0.31,4.0,0.0
Page View - Total Sessions,416_prod,New Deal,0,0,0,0,1,0,1,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,416_prod,Contracts - Disclosures & Amendments,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,416_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,416_prod,Open and Sign Documents,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,416_prod,Sales Center - Backup Offers,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1.0,0.0
Page View - Total Sessions,416_prod,Project Settings - Listing Setup,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,103_uat,Untagged Pages,1,36,38,65,46,25,23,23,15,28,67,43,48,35.23,458.0,36.0
Page View - Total Sessions,103_uat,Dashboard (test),1,34,35,69,46,20,23,20,13,24,53,38,35,31.62,411.0,34.0
Page View - Total Sessions,103_uat,Project Settings,1,21,22,45,34,5,12,17,6,10,14,21,13,17.0,221.0,14.0
Page View - Total Sessions,103_uat,Project Settings - Dashboard,1,20,21,41,33,5,12,17,5,10,12,19,13,16.08,209.0,13.0
Page View - Total Sessions,103_uat,Contracts - Deal Summary,0,4,8,22,13,8,11,6,3,5,11,18,6,8.85,115.0,8.0
Page View - Total Sessions,103_uat,Documents/Addenda/Contract,0,4,3,4,16,2,7,4,3,1,4,13,9,5.38,70.0,4.0
Page View - Total Sessions,103_uat,Project Settings - Staff Management,0,5,5,7,11,0,2,5,1,3,2,0,3,3.38,44.0,3.0
Page View - Total Sessions,103_uat,Deal Logs,0,2,3,6,10,1,5,1,0,0,0,12,2,3.23,42.0,2.0
Page View - Total Sessions,103_uat,Document: Developer Sign,0,2,1,1,7,2,3,5,1,3,3,9,1,2.92,38.0,2.0
Page View - Total Sessions,103_uat,Leads dashboard,0,2,0,1,0,2,0,0,1,7,2,11,2,2.15,28.0,1.0
Page View - Total Sessions,103_uat,Account/Developer/SettingBuildingNew,1,1,4,7,5,0,2,0,2,1,0,0,0,1.77,23.0,1.0
Page View - Total Sessions,103_uat,Project Settings - Listing Setup,1,1,4,7,5,0,2,0,2,1,0,0,0,1.77,23.0,1.0
Page View - Total Sessions,103_uat,Contracts - Disclosures & Amendments,0,4,7,0,4,1,0,0,0,0,2,0,3,1.62,21.0,0.0
Page View - Total Sessions,103_uat,Document: Sign in Person,0,0,1,0,2,2,4,0,0,4,2,3,0,1.38,18.0,1.0
Page View - Total Sessions,103_uat,Project Settings - Email,0,0,1,2,1,0,3,0,0,5,0,6,0,1.38,18.0,0.0
Page View - Total Sessions,103_uat,Realtor Portal,0,1,2,10,1,0,0,0,0,1,2,0,0,1.31,17.0,0.0
Page View - Total Sessions,103_uat,Post-Sale Deposit Report,0,0,2,1,1,1,1,0,0,0,6,3,1,1.23,16.0,1.0
Page View - Total Sessions,103_uat,Project Settings - Marketing Assets - Floor Plans,0,1,2,5,3,0,0,0,0,0,3,0,2,1.23,16.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Marketing Assets - Floor Plates,0,1,4,2,3,0,0,0,0,0,1,0,1,0.92,12.0,0.0
Page View - Total Sessions,103_uat,Leads - View Contact Details,0,0,0,0,0,0,0,0,0,0,1,9,1,0.85,11.0,0.0
Page View - Total Sessions,103_uat,DepositStructures,0,0,1,1,1,0,1,0,0,0,0,1,1,0.46,6.0,0.0
Page View - Total Sessions,103_uat,Sales Center - Reserved Listings,0,1,0,2,1,1,0,0,0,0,0,1,0,0.46,6.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Price Model - Color & Custom Status,0,0,0,1,5,0,0,0,0,0,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,103_uat,Purchase Requests,0,1,0,0,0,0,0,0,0,0,4,0,1,0.46,6.0,0.0
Page View - Total Sessions,103_uat,Post-Sale Payment Report,0,0,0,0,0,0,0,0,0,0,3,1,1,0.38,5.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Realtor Commission,0,0,0,1,2,0,1,0,0,0,0,1,0,0.38,5.0,0.0
Page View - Total Sessions,103_uat,Setting - Sync to CRM,0,0,3,0,0,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Project Settings - New Deal Setup,0,0,0,0,1,0,2,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Options - Map Options,0,2,0,0,0,0,1,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Project Settings - CRM,0,0,2,0,1,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Profile Questions,0,0,0,1,1,0,1,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Worksheet Submissions,0,0,0,0,0,1,0,0,0,0,2,0,0,0.23,3.0,0.0
Page View - Total Sessions,103_uat,Demand Analytics,0,0,0,0,0,0,0,0,0,0,2,0,0,0.15,2.0,0.0
Page View - Total Sessions,103_uat,New Deal grid ,0,1,1,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Marketing Assets - Color Scheme,0,0,2,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,103_uat,Project Settings - General,0,0,0,0,1,0,1,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Webhooks,0,2,0,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,103_uat,Leads forms,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Documents - Manual Upload,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Documents - Order & Visibility,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,103_uat,Project Settings - Templates - Emails,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,535_prod,Untagged Pages,2,64,20,17,28,64,13,54,26,17,35,49,96,37.31,485.0,28.0
Page View - Total Sessions,535_prod,Dashboard (test),3,57,23,13,23,53,15,30,20,14,22,40,76,29.92,389.0,23.0
Page View - Total Sessions,535_prod,Contracts Dashboard,3,57,23,13,23,53,15,30,20,11,0,0,0,19.08,248.0,15.0
Page View - Total Sessions,535_prod,Contracts - Deal Summary,2,24,6,6,16,29,10,18,14,7,19,29,61,18.54,241.0,16.0
Page View - Total Sessions,535_prod,Document: Developer Sign,0,4,1,4,3,16,6,9,8,0,13,18,43,9.62,125.0,6.0
Page View - Total Sessions,535_prod,Deal Finder,2,9,2,1,8,13,8,11,8,8,0,0,0,5.38,70.0,8.0
Page View - Total Sessions,535_prod,Purchaser Portal,0,16,2,3,3,11,3,14,3,0,0,0,0,4.23,55.0,3.0
Page View - Total Sessions,535_prod,Document: Sign in Person,0,4,1,1,1,3,2,3,2,0,4,10,21,4.0,52.0,2.0
Page View - Total Sessions,535_prod,New Deal,2,5,3,1,5,9,2,3,0,3,0,0,0,2.54,33.0,2.0
Page View - Total Sessions,535_prod,Price model,2,8,10,8,5,0,0,0,0,0,0,0,0,2.54,33.0,0.0
Page View - Total Sessions,535_prod,New Deal grid ,2,11,5,3,3,0,0,0,0,0,0,0,0,1.85,24.0,0.0
Page View - Total Sessions,535_prod,Contracts - Disclosures & Amendments,0,1,0,0,0,4,0,5,1,0,0,0,0,0.85,11.0,0.0
Page View - Total Sessions,535_prod,Excel Reporting,1,5,1,1,1,1,0,0,1,0,0,0,0,0.85,11.0,1.0
Page View - Total Sessions,535_prod,Open and Sign Documents,0,0,0,0,0,0,0,0,0,0,0,2,3,0.38,5.0,0.0
Page View - Total Sessions,535_prod,Project Settings,0,0,0,0,0,0,0,0,0,0,0,3,2,0.38,5.0,0.0
Page View - Total Sessions,535_prod,Project Settings - Dashboard,0,0,0,0,0,0,0,0,0,0,0,3,2,0.38,5.0,0.0
Page View - Total Sessions,535_prod,Project Settings - Documents - Manual Upload,0,0,0,0,0,0,0,0,0,0,0,2,2,0.31,4.0,0.0
Page View - Total Sessions,535_prod,Leads dashboard,0,0,0,0,0,1,0,0,0,0,0,1,0,0.15,2.0,0.0
Page View - Total Sessions,535_prod,Listings,0,0,0,0,1,0,0,0,1,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,535_prod,Contracts - Reporting - Sales Rep Performance,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1.0,0.0
Page View - Total Sessions,535_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,535_prod,Documents,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,535_prod,Project Settings - Listing Setup,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,535_prod,Purchase Requests,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Untagged Pages,9,83,39,71,64,39,26,30,40,42,27,81,240,60.85,791.0,40.0
Page View - Total Sessions,624_prod,Dashboard (test),2,55,26,38,6,7,8,8,11,17,9,16,8,16.23,211.0,9.0
Page View - Total Sessions,624_prod,Contracts Dashboard,2,55,26,38,6,7,8,8,11,14,0,0,0,13.46,175.0,8.0
Page View - Total Sessions,624_prod,Purchaser Portal,3,15,8,16,45,26,12,15,17,7,0,0,0,12.62,164.0,12.0
Page View - Total Sessions,624_prod,Contracts - Deal Summary,2,38,22,30,6,4,4,3,3,5,3,9,6,10.38,135.0,5.0
Page View - Total Sessions,624_prod,Document: Developer Sign,1,21,13,26,3,3,2,3,1,5,1,6,6,7.0,91.0,3.0
Page View - Total Sessions,624_prod,Document: Sign in Person,2,15,5,7,2,1,2,0,2,1,1,3,2,3.31,43.0,2.0
Page View - Total Sessions,624_prod,Excel Reporting,0,7,3,10,1,3,3,4,4,3,0,0,0,2.92,38.0,3.0
Page View - Total Sessions,624_prod,Deal Finder,0,6,5,7,3,2,3,1,2,1,0,0,0,2.31,30.0,2.0
Page View - Total Sessions,624_prod,Listings,0,8,7,7,1,1,0,2,2,2,0,0,0,2.31,30.0,1.0
Page View - Total Sessions,624_prod,Price model,0,11,3,6,2,0,0,0,0,0,0,0,0,1.69,22.0,0.0
Page View - Total Sessions,624_prod,Post-Sale Deposit Report,0,11,6,2,0,0,0,0,0,0,0,0,0,1.46,19.0,0.0
Page View - Total Sessions,624_prod,New Deal,0,2,1,1,0,1,0,1,1,0,0,0,0,0.54,7.0,0.0
Page View - Total Sessions,624_prod,Purchaser Realtor Reporting,0,3,0,2,0,1,0,0,0,0,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,624_prod,Contracts - Disclosures & Amendments,0,2,1,1,0,0,1,0,0,0,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,624_prod,Open and Sign Documents,0,0,0,0,0,1,0,0,1,1,0,1,1,0.38,5.0,0.0
Page View - Total Sessions,624_prod,Deposit Reporting (Legacy),0,1,2,1,0,0,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,624_prod,Project Settings,0,0,3,0,0,0,0,0,0,0,0,0,1,0.31,4.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Dashboard,0,0,3,0,0,0,0,0,0,0,0,0,1,0.31,4.0,0.0
Page View - Total Sessions,624_prod,Documents,0,2,1,0,0,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,624_prod,Contracts - Reporting - Sales Rep Performance,0,1,0,0,0,1,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,624_prod,Account/Developer/SettingBuildingNew,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Demographics Reporting,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,New Deal grid ,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Subjects Reporting,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Payments Reporting (Legacy),0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Marketing Assets - Color Scheme,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Documents - Order & Visibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - General,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Listing Setup,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Price Model - Grid Placement,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Profile Questions,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Staff Management,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Project Settings - Templates - Addenda,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,624_prod,Purchase Requests,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Untagged Pages,13,117,97,64,123,12,4,8,19,40,26,22,4,42.23,549.0,22.0
Page View - Total Sessions,487_prod,Dashboard (test),14,57,57,47,31,3,0,6,0,1,2,0,0,16.77,218.0,3.0
Page View - Total Sessions,487_prod,Contracts Dashboard,14,57,57,47,31,3,0,6,0,1,0,0,0,16.62,216.0,3.0
Page View - Total Sessions,487_prod,Contracts - Deal Summary,11,57,62,43,37,0,0,2,0,0,0,0,0,16.31,212.0,0.0
Page View - Total Sessions,487_prod,Purchaser Portal,0,45,35,7,72,8,2,2,13,22,0,0,0,15.85,206.0,7.0
Page View - Total Sessions,487_prod,Document: Developer Sign,7,47,45,30,24,0,0,0,0,0,0,0,0,11.77,153.0,0.0
Page View - Total Sessions,487_prod,Deal Finder,5,31,36,23,16,1,0,3,0,0,0,0,0,8.85,115.0,1.0
Page View - Total Sessions,487_prod,Price model,7,18,5,8,2,0,0,0,0,0,0,0,0,3.08,40.0,0.0
Page View - Total Sessions,487_prod,Excel Reporting,1,3,6,1,1,0,0,0,0,0,0,0,0,0.92,12.0,0.0
Page View - Total Sessions,487_prod,Document: Sign in Person,1,5,0,2,3,0,0,0,0,0,0,0,0,0.85,11.0,0.0
Page View - Total Sessions,487_prod,Email Sent Log,0,2,6,2,1,0,0,0,0,0,0,0,0,0.85,11.0,0.0
Page View - Total Sessions,487_prod,New Deal,1,4,0,2,1,0,0,0,0,0,0,0,0,0.62,8.0,0.0
Page View - Total Sessions,487_prod,Documents,0,3,1,0,0,0,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,487_prod,Listings,1,2,1,0,0,0,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,487_prod,New Deal grid ,1,3,0,0,0,0,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,487_prod,Project Settings,0,2,0,0,1,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,487_prod,Project Settings - Dashboard,0,2,0,0,1,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,487_prod,Sales Center - Reserved Listings,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,487_prod,Project Settings - Documents - Manual Upload,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,487_prod,Project Settings - Documents - Order & Visibility,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,487_prod,Offplan Home,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Offplan Map,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Sales Center - Backup Offers,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Setting - Sync to CRM,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Purchaser Realtor Reporting,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Realtor Portal,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,487_prod,Vesa at Little Mountain,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,402_prod,Untagged Pages,2,28,21,18,27,13,18,62,77,20,111,35,74,38.92,506.0,27.0
Page View - Total Sessions,402_prod,Contracts - Deal Summary,1,21,16,21,61,26,20,44,40,16,35,12,14,25.15,327.0,21.0
Page View - Total Sessions,402_prod,Dashboard (test),1,21,18,11,22,8,10,33,40,14,46,17,29,20.77,270.0,18.0
Page View - Total Sessions,402_prod,Contracts Dashboard,1,21,18,11,22,8,10,33,40,10,0,0,0,13.38,174.0,10.0
Page View - Total Sessions,402_prod,Document: Developer Sign,0,6,4,13,30,10,4,15,15,6,11,5,3,9.38,122.0,6.0
Page View - Total Sessions,402_prod,Deal Finder,1,14,10,6,11,7,7,16,20,6,0,0,0,7.54,98.0,7.0
Page View - Total Sessions,402_prod,Document: Sign in Person,0,0,1,0,1,3,1,9,19,4,25,8,11,6.31,82.0,3.0
Page View - Total Sessions,402_prod,Purchaser Portal,1,2,1,3,2,1,3,17,9,1,0,0,0,3.08,40.0,1.0
Page View - Total Sessions,402_prod,Excel Reporting,0,4,7,1,5,0,3,4,2,1,0,0,0,2.08,27.0,1.0
Page View - Total Sessions,402_prod,Project Settings,0,1,1,1,4,0,1,4,2,0,0,0,0,1.08,14.0,1.0
Page View - Total Sessions,402_prod,Project Settings - Dashboard,0,1,1,1,4,0,1,4,2,0,0,0,0,1.08,14.0,1.0
Page View - Total Sessions,402_prod,Leads dashboard,0,1,2,0,0,1,0,3,3,0,1,0,0,0.85,11.0,0.0
Page View - Total Sessions,402_prod,Price model,0,3,6,0,1,0,0,0,0,0,0,0,0,0.77,10.0,0.0
Page View - Total Sessions,402_prod,Documents,0,1,1,1,2,1,0,3,0,0,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,402_prod,New Deal,0,0,1,0,0,1,1,2,4,0,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,402_prod,Contracts - Disclosures & Amendments,0,0,0,1,0,0,1,2,1,2,1,0,0,0.62,8.0,0.0
Page View - Total Sessions,402_prod,Open and Sign Documents,0,0,0,0,0,0,0,0,2,0,2,0,3,0.54,7.0,0.0
Page View - Total Sessions,402_prod,Project Settings - Documents - Manual Upload,0,1,1,1,1,0,0,0,2,0,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,402_prod,Project Settings - Staff Management,0,0,0,0,0,0,1,3,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,402_prod,Listings,0,0,0,0,0,2,1,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,402_prod,Account/Developer/SettingBuildingNew,0,0,0,0,1,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,402_prod,Offplan Map,0,2,0,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,402_prod,Project Settings - Documents - Order & Visibility,0,0,0,1,0,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,402_prod,Project Settings - Listing Setup,0,0,0,0,1,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,402_prod,Email Sent Log,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,402_prod,Sales Center - Reserved Listings,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08,1.0,0.0
Page View - Total Sessions,402_prod,Project Settings - Templates - Addenda,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
