Event Title,ID,Tagged Page,"Jun 1, 2025","Jul 1, 2025","Aug 1, 2025","Sep 1, 2025","Oct 1, 2025","Nov 1, 2025","Dec 1, 2025","Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,null_prod,Project Settings - Options - Map Options,0,2,1,2,2,0,0,1,0,0,4,4,2,1.38,18.0,1.0
Page View - Total Sessions,null_prod,Post-Sale Deposit Report,0,2,2,6,2,1,3,0,1,0,0,0,0,1.31,17.0,1.0
Page View - Total Sessions,null_prod,Project Settings - Documents - Manual Upload,0,0,3,2,0,1,1,2,1,1,2,2,2,1.31,17.0,1.0
Page View - Total Sessions,null_prod,Purchase Requests,0,2,1,2,3,1,3,3,1,1,0,0,0,1.31,17.0,1.0
Page View - Total Sessions,null_prod,Project Settings - Marketing Assets - Floor Plans,0,1,1,1,0,0,1,2,2,1,0,4,2,1.15,15.0,1.0
Page View - Total Sessions,null_prod,Project Settings - Templates - Emails,0,1,0,2,0,0,2,2,1,0,0,4,2,1.08,14.0,1.0
Page View - Total Sessions,null_prod,Project Settings - Documents - Order & Visibility,0,1,1,2,0,0,1,3,0,0,1,2,1,0.92,12.0,1.0
Page View - Total Sessions,null_prod,Demographics Reporting,0,3,1,0,1,2,2,1,0,0,0,0,0,0.77,10.0,0.0
Page View - Total Sessions,null_prod,Project Settings - Email,0,1,0,1,0,0,1,2,0,1,0,2,2,0.77,10.0,1.0
Page View - Total Sessions,null_prod,Project Settings - General,0,1,2,1,0,0,0,1,0,0,0,3,2,0.77,10.0,0.0
Page View - Total Sessions,null_prod,Contracts - Reporting - Sales Rep Performance,0,3,1,2,1,2,0,0,0,0,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,null_prod,Deposit Reporting (Legacy),0,2,0,3,1,3,0,0,0,0,0,0,0,0.69,9.0,0.0
